study_text_id,site_id,sample_years,longitude_dd,latitude_dd,
AR2_2003__Woltmann_ACI_1,48,1999,,,
AR2_2003__Woltmann_ACI_1,49,1999,,,
AR2_2003__Woltmann_ACI_1,50,1999,,,
AR2_2003__Woltmann_ACI_1,51,1999,,,
AR2_2003__Woltmann_ACI_1,52,1999,,,
AR2_2005__Cleary_ACI_1,56,2000,116.94388,-1.05522,
AR2_2005__Cleary_ACI_1,57,2000,116.94298,-1.06064,
AR2_2005__Cleary_ACI_1,58,2000,116.94433,-1.06064,
AR2_2005__Cleary_ACI_1,59,2000,116.94748,-1.05522,
AR2_2005__Cleary_ACI_1,60,2000,116.94883,-1.05386,
AR2_2005__Cleary_ACI_1,61,2000,116.95197,-1.05567,
AR2_2005__Cleary_ACI_1,62,2000,116.95647,-1.05522,
AR2_2005__Cleary_ACI_1,63,2000,116.95557,-1.05929,
AR2_2005__Cleary_ACI_1,64,2000,116.95602,-1.05205,
AR2_2005__Cleary_ACI_1,65,2000,116.95871,-1.05386,
AR2_2005__Cleary_ACI_1,66,2000,116.95826,-1.06064,
AR2_2005__Cleary_ACI_1,67,2000,116.96051,-1.05657,
AR2_2005__Cleary_ACI_1,68,2000,116.96051,-1.05974,
AR2_2005__Cleary_ACI_1,69,2000,116.96096,-1.05115,
AR2_2005__Cleary_ACI_1,70,2000,116.96501,-1.05522,
AR2_2005__Cleary_ACI_1,71,2000,116.94343,-1.05295,
AR2_2005__Cleary_ACI_1,72,2000,,,
AR2_2005__Cleary_ACI_1,73,2000,,,
AR2_2005__Cleary_ACI_1,74,2000,,,
AR2_2005__Cleary_ACI_1,75,2000,,,
AR2_2005__Cleary_ACI_1,76,2000,,,
AR2_2005__Cleary_ACI_1,77,2000,,,
AR2_2005__Cleary_ACI_1,78,2000,,,
AR2_2005__Cleary_ACI_1,79,2000,,,
AR2_2005__Cleary_ACI_1,80,2000,,,
AR2_2005__Cleary_ACI_1,81,2000,,,
AR2_2005__Cleary_ACI_1,82,2000,,,
AR2_2005__Cleary_ACI_1,83,2000,,,
AR2_2005__Cleary_ACI_1,84,2000,,,
AR2_2005__Cleary_ACI_1,85,2000,,,
AR2_2005__Cleary_ACI_1,86,2000,,,
AR2_2005__Cleary_ACI_1,87,2000,,,
AR2_2005__Cleary_ACI_1,88,2000,116.32476,-0.96636,
AR2_2005__Cleary_ACI_1,89,2000,116.31937,-0.96545,
AR2_2005__Cleary_ACI_1,90,2000,116.31937,-0.96681,
AR2_2005__Cleary_ACI_1,91,2000,116.32476,-0.96997,
AR2_2005__Cleary_ACI_1,92,2000,116.32611,-0.97133,
AR2_2005__Cleary_ACI_1,93,2000,116.32431,-0.9745,
AR2_2005__Cleary_ACI_1,94,2000,116.32476,-0.97902,
AR2_2005__Cleary_ACI_1,95,2000,116.32072,-0.97812,
AR2_2005__Cleary_ACI_1,96,2000,116.32791,-0.97857,
AR2_2005__Cleary_ACI_1,97,2000,116.32611,-0.98128,
AR2_2005__Cleary_ACI_1,98,2000,116.31937,-0.98083,
AR2_2005__Cleary_ACI_1,99,2000,116.32341,-0.98309,
AR2_2005__Cleary_ACI_1,100,2000,116.32027,-0.98309,
AR2_2005__Cleary_ACI_1,101,2000,116.3288,-0.98355,
AR2_2005__Cleary_ACI_1,102,2000,116.32476,-0.98762,
AR2_2005__Cleary_ACI_1,103,2000,116.32701,-0.9659,
AR2_2005__Cleary_ACI_1,104,1998,112.38276,-1.27984,
AR2_2005__Cleary_ACI_1,105,1998,112.37954,-1.27391,
AR2_2005__Cleary_ACI_1,106,1998,112.41057,-1.26615,
AR2_2005__Cleary_ACI_1,107,1998,112.42181,-1.27807,
AR2_2005__Cleary_ACI_1,108,1998,112.38374,-1.2863,
AR2_2005__Cleary_ACI_1,109,1998,112.4132,-1.27721,
AR2_2005__Cleary_ACI_1,110,1998,112.39365,-1.27595,
AR2_2005__Cleary_ACI_1,111,1998,112.43587,-1.28129,
AR2_2005__Cleary_ACI_1,112,1998,112.43175,-1.28422,
AR2_2005__Cleary_ACI_1,113,1998,112.43896,-1.28919,
AR2_2005__Cleary_ACI_1,114,1998,112.43142,-1.28276,
AR2_2005__Cleary_ACI_1,115,1998,112.41704,-1.27787,
AR2_2005__Cleary_ACI_1,116,1998,112.37973,-1.27215,
AR2_2005__Cleary_ACI_1,117,1998,,,
AR2_2005__Cleary_ACI_1,118,"1997,1998",,,
AR2_2005__Cleary_ACI_1,119,"1997,1998",,,
AR2_2005__Cleary_ACI_1,120,1998,112.34379,-1.34294,
AR2_2005__Cleary_ACI_1,121,1998,112.34409,-1.33657,
AR2_2005__Cleary_ACI_1,122,1998,112.33034,-1.34853,
AR2_2005__Cleary_ACI_1,123,1998,112.33305,-1.35364,
AR2_2005__Cleary_ACI_1,124,1998,112.34267,-1.32189,
AR2_2005__Cleary_ACI_1,125,1998,112.36147,-1.3523,
AR2_2005__Cleary_ACI_1,126,1998,112.34722,-1.35238,
AR2_2005__Cleary_ACI_1,127,1998,112.33758,-1.34793,
AR2_2005__Cleary_ACI_1,128,1998,112.34906,-1.34331,
AR2_2005__Cleary_ACI_1,129,1998,112.37425,-1.35604,
AR2_2005__Cleary_ACI_1,130,1998,,,
AR2_2005__Cleary_ACI_1,131,1998,112.36603,-1.29693,
AR2_2005__Cleary_ACI_1,132,1998,112.37137,-1.30396,
AR2_2005__Cleary_ACI_1,133,"1997,1998",112.36995,-1.30184,
AR2_2005__Cleary_ACI_1,134,"1997,1998",,,
AR2_2005__Cleary_ACI_1,135,"1997,1998",,,
AR2_2005__Cleary_ACI_1,136,1998,112.378,-1.2937,
AR2_2005__Cleary_ACI_1,137,"1997,1998",112.38045,-1.30107,
AR2_2005__Cleary_ACI_1,138,"1997,1998",112.38445,-1.30448,
AR2_2005__Cleary_ACI_1,139,1998,112.38349,-1.30182,
AR2_2005__Cleary_ACI_1,140,1998,112.38834,-1.30697,
AR2_2005__Cleary_ACI_1,141,"1997,1998",112.39004,-1.29639,
AR2_2005__Cleary_ACI_1,142,1998,112.38853,-1.29745,
AR2_2005__Cleary_ACI_1,143,"1997,1998",,,
AR2_2005__Cleary_ACI_1,144,"1997,1998",112.39205,-1.30037,
AR2_2005__Cleary_ACI_1,145,1998,112.38585,-1.28978,
AR2_2005__Cleary_ACI_1,146,1998,112.38465,-1.28871,
AR2_2005__Cleary_ACI_1,147,2000,,,
AR2_2005__Cleary_ACI_1,148,2000,,,
AR2_2005__Cleary_ACI_1,149,2000,,,
AR2_2005__Cleary_ACI_1,150,2000,,,
AR2_2005__Cleary_ACI_1,151,2000,,,
AR2_2005__Cleary_ACI_1,152,2000,,,
AR2_2005__Cleary_ACI_1,153,2000,,,
AR2_2005__Cleary_ACI_1,154,2000,,,
AR2_2005__Cleary_ACI_1,155,2000,,,
AR2_2005__Cleary_ACI_1,156,2000,,,
AR2_2005__Cleary_ACI_1,157,2000,,,
AR2_2005__Cleary_ACI_1,158,2000,,,
AR2_2005__Cleary_ACI_1,159,2000,,,
AR2_2005__Cleary_ACI_1,160,2000,,,
AR2_2005__Cleary_ACI_1,161,2000,,,
AR2_2005__Cleary_ACI_1,162,2000,,,
AR2_2005__Cleary_ACI_1,163,2000,116.81597,-1.10542,
AR2_2005__Cleary_ACI_1,164,2000,116.81597,-1.10488,
AR2_2005__Cleary_ACI_1,165,2000,116.82361,-1.11574,
AR2_2005__Cleary_ACI_1,166,2000,116.81687,-1.11528,
AR2_2005__Cleary_ACI_1,167,2000,116.82182,-1.11845,
AR2_2005__Cleary_ACI_1,168,2000,116.82047,-1.10352,
AR2_2005__Cleary_ACI_1,169,2000,116.82002,-1.10714,
AR2_2005__Cleary_ACI_1,170,2000,116.82182,-1.1085,
AR2_2005__Cleary_ACI_1,171,2000,116.82002,-1.11166,
AR2_2005__Cleary_ACI_1,172,2000,116.82047,-1.11619,
AR2_2005__Cleary_ACI_1,173,2000,116.81508,-1.118,
AR2_2005__Cleary_ACI_1,174,2000,116.81597,-1.12026,
AR2_2005__Cleary_ACI_1,175,2000,116.81912,-1.12026,
AR2_2005__Cleary_ACI_1,176,2000,116.82451,-1.12071,
AR2_2005__Cleary_ACI_1,177,2000,116.82047,-1.12478,
AR2_2005__Cleary_ACI_1,178,2000,116.82272,-1.10307,
AR2_2005__Cleary_ACI_1,179,1998,116.83082,-1.12297,
AR2_2005__Cleary_ACI_1,180,1998,116.83262,-1.12297,
AR2_2005__Cleary_ACI_1,181,1998,116.83176,-1.11977,
AR2_2005__Cleary_ACI_1,182,1998,116.83356,-1.11977,
AR2_2005__Cleary_ACI_1,183,1998,116.83353,-1.11622,
AR2_2005__Cleary_ACI_1,184,1998,116.83495,-1.11708,
AR2_2005__Cleary_ACI_1,185,1998,116.81661,-1.09528,
AR2_2005__Cleary_ACI_1,186,1998,116.81481,-1.09528,
AR2_2005__Cleary_ACI_1,187,1998,116.81634,-1.09133,
AR2_2005__Cleary_ACI_1,188,1998,116.81454,-1.09133,
AR2_2005__Cleary_ACI_1,189,1998,116.81706,-1.08772,
AR2_2005__Cleary_ACI_1,190,1998,116.81526,-1.08567,
AR2_2005__Cleary_ACI_1,191,1998,116.84243,-1.07818,
AR2_2005__Cleary_ACI_1,192,1998,116.84243,-1.07637,
AR2_2005__Cleary_ACI_1,193,1998,116.83946,-1.07202,
AR2_2005__Cleary_ACI_1,194,1998,116.83946,-1.07021,
AR2_2005__Cleary_ACI_1,195,1998,116.83763,-1.0739,
AR2_2005__Cleary_ACI_1,196,1998,116.83763,-1.07209,
AR2_2005__Cleary_ACI_1,197,1997,116.96516,-0.98995,
AR2_2005__Cleary_ACI_1,198,1997,116.96156,-0.99402,
AR2_2005__Cleary_ACI_1,199,1997,116.94538,-0.98905,
AR2_2005__Cleary_ACI_1,200,1997,116.96021,-0.99583,
AR2_2005__Cleary_ACI_1,201,1997,116.94673,-0.99357,
AR2_2005__Cleary_ACI_1,202,1997,116.93999,-0.99945,
AR2_2005__Cleary_ACI_1,203,1997,116.97325,-0.99312,
AR2_2005__Cleary_ACI_1,204,1997,,,
AR2_2005__Cleary_ACI_1,205,1998,116.96516,-0.98995,
AR2_2005__Cleary_ACI_1,206,1998,116.96156,-0.99402,
AR2_2005__Cleary_ACI_1,207,"1997,1998",116.94538,-0.98905,
AR2_2005__Cleary_ACI_1,208,"1997,1998",116.96561,-0.99674,
AR2_2005__Cleary_ACI_1,209,1998,116.96021,-0.99583,
AR2_2005__Cleary_ACI_1,210,"1997,1998",116.94673,-0.99357,
AR2_2005__Cleary_ACI_1,211,1998,116.93999,-0.99945,
AR2_2005__Cleary_ACI_1,212,1998,,,
AR2_2005__Cleary_ACI_1,213,"1997,1998",,,
AR2_2005__Cleary_ACI_1,214,1998,,,
AR2_2005__Cleary_ACI_1,215,"1997,1999",116.96516,-0.98995,
AR2_2005__Cleary_ACI_1,216,1999,116.96156,-0.99402,
AR2_2005__Cleary_ACI_1,217,"1997,1999",116.94538,-0.98905,
AR2_2005__Cleary_ACI_1,218,1999,116.96561,-0.99674,
AR2_2005__Cleary_ACI_1,219,"1997,1999",116.96021,-0.99583,
AR2_2005__Cleary_ACI_1,220,1999,116.94673,-0.99357,
AR2_2005__Cleary_ACI_1,221,1999,116.93999,-0.99945,
AR2_2005__Cleary_ACI_1,222,"1997,1999",116.97325,-0.99312,
AR2_2005__Cleary_ACI_1,223,1999,,,
AR2_2005__Cleary_ACI_1,224,1999,,,
AR2_2005__Cleary_ACI_1,225,1999,116.96516,-0.98995,
AR2_2005__Cleary_ACI_1,226,2000,116.96156,-0.99402,
AR2_2005__Cleary_ACI_1,227,"1999,2000",116.94538,-0.98905,
AR2_2005__Cleary_ACI_1,228,1999,116.96561,-0.99674,
AR2_2005__Cleary_ACI_1,229,"1999,2000",116.96021,-0.99583,
AR2_2005__Cleary_ACI_1,230,2000,116.94673,-0.99357,
AR2_2005__Cleary_ACI_1,231,2000,116.93999,-0.99945,
AR2_2005__Cleary_ACI_1,232,1999,116.97325,-0.99312,
AR2_2005__Cleary_ACI_1,233,"1999,2000",,,
AR2_2005__Cleary_ACI_1,234,2000,,,
AR2_2005__Cleary_ACI_1,235,2000,,,
AR2_2005__Cleary_ACI_1,236,2000,,,
AR2_2005__Cleary_ACI_1,237,2000,,,
AR2_2005__Cleary_ACI_1,238,2000,,,
AR2_2005__Cleary_ACI_1,239,2000,116.96156,-0.99402,
AR2_2005__Cleary_ACI_1,240,2000,,,
AR2_2005__Cleary_ACI_1,241,2000,116.96561,-0.99674,
AR2_2005__Cleary_ACI_1,242,2000,116.96021,-0.99583,
AR2_2005__Cleary_ACI_1,243,2000,116.94673,-0.99357,
AR2_2005__Cleary_ACI_1,244,2000,,,
AR2_2005__Cleary_ACI_1,245,2000,,,
AR2_2005__Cleary_ACI_1,246,2000,,,
AR2_2005__Cleary_ACI_1,247,2000,,,
AR2_2005__Cleary_ACI_1,248,2000,116.95707,-0.99402,
AR2_2005__Cleary_ACI_1,249,2000,116.95257,-0.99447,
AR2_2005__Cleary_ACI_1,250,2000,116.95347,-0.99085,
AR2_2005__Cleary_ACI_1,251,2000,116.95302,-0.99764,
AR2_2005__Cleary_ACI_1,252,2000,116.95033,-0.99583,
AR2_2005__Cleary_ACI_1,253,2000,116.95078,-0.98905,
AR2_2005__Cleary_ACI_1,254,2000,116.94853,-0.99312,
AR2_2005__Cleary_ACI_1,255,2000,116.94853,-0.98995,
AR2_2005__Cleary_ACI_1,256,2000,116.94808,-0.99854,
AR2_2005__Cleary_ACI_1,257,2000,116.96516,-0.99447,
AR2_2005__Cleary_ACI_1,258,2000,,,
AR2_2005__Cleary_ACI_1,259,2004,,,
AR2_2005__Cleary_ACI_1,260,2004,,,
AR2_2005__Cleary_ACI_1,261,2004,,,
AR2_2005__Cleary_ACI_1,262,2004,,,
AR2_2005__Cleary_ACI_1,263,2004,,,
AR2_2005__Cleary_ACI_1,264,2004,,,
AR2_2005__Cleary_ACI_1,265,2004,,,
AR2_2005__Cleary_ACI_1,266,2004,,,
AR2_2005__Cleary_ACI_1,267,2004,,,
AR2_2005__Cleary_ACI_1,268,2004,,,
AR2_2005__Cleary_ACI_1,269,2004,,,
AR2_2005__Craig_BACI_1,270,"1994,1995,1996",116.303155989623,-34.135853,
AR2_2005__Craig_BACI_1,271,"1994,1995,1996",116.303218870173,-34.12819,
AR2_2005__Craig_BACI_1,272,"1994,1995,1996",116.311927056775,-34.124183,
AR2_2005__Craig_BACI_1,273,"1994,1995,1996",116.314532462099,-34.137269,
AR2_2005__Craig_BACI_1,274,"1994,1995,1996",116.321729541024,-34.118828,
AR2_2005__Craig_BACI_1,275,"1994,1995,1996",116.323804845836,-34.130559,
AR2_2005__Craig_BACI_1,276,"1994,1995,1996",116.332537126581,-34.123395,
AR2_2005__Craig_BACI_1,277,"1994,1995,1996",116.32934458928,-34.060724,
AR2_2005__Craig_BACI_1,278,"1994,1995,1996",116.335241563293,-34.054896,
AR2_2005__Craig_BACI_1,279,"1994,1995,1996",116.340693895789,-34.050418,
AR2_2005__Craig_BACI_1,280,"1994,1995,1996",116.349416435481,-34.043252,
AR2_2005__Craig_BACI_1,281,"1994,1995,1996",116.358076387237,-34.044199,
AR2_2005__Craig_BACI_1,282,"1994,1995,1996",116.363760271899,-34.051982,
AR2_2005__Craig_BACI_1,283,"1994,1995,1996",116.354168444542,-34.059504,
AR2_2005__Craig_BACI_1,284,"1994,1995,1996",116.345783559402,-34.064869,
AR2_2005__Craig_BACI_1,285,"1994,1995,1996",116.408170781882,-34.085018,
AR2_2005__Craig_BACI_1,286,"1994,1995,1996",116.419551595086,-34.085073,
AR2_2005__Craig_BACI_1,287,"1994,1995,1996",116.420684595243,-34.077866,
AR2_2005__Craig_BACI_1,288,"1994,1995,1996",116.431477396684,-34.084678,
AR2_2005__Craig_BACI_1,289,"1994,1995,1996",116.370071358872,-34.106916,
AR2_2005__Craig_BACI_1,290,"1994,1995,1996",116.352834691904,-34.092402,
AR2_2005__Craig_BACI_1,291,"1994,1995,1996",116.372792281549,-34.134876,
AR2_2005__Craig_BACI_1,292,"1994,1995,1996",116.319928763554,-34.072842,
AR2_2005__Craig_BACI_1,293,"1994,1995,1996",116.323144048846,-34.077367,
AR2_2005__Craig_BACI_1,294,"1994,1995,1996",116.355878264556,-34.119914,
AR2_2005__Craig_BACI_1,295,"1994,1995,1996",116.329165196116,-34.069738,
AR2_2005__Craig_BACI_1,296,"1994,1995,1996",116.367250209907,-34.121776,
AR2_2005__Craig_BACI_1,297,"1994,1995,1996",116.332362765937,-34.117985,
AR2_2005__Craig_BACI_1,298,"1994,1995,1996",116.372156420592,-34.118195,
AR2_2005__Craig_BACI_1,299,"1994,1995,1996",116.37262533383,-34.128114,
AR2_2005__Craig_BACI_1,300,"1994,1995,1996",116.366542081989,-34.071288,
AR2_2005__Craig_BACI_1,301,"1994,1995,1996",116.368107390109,-34.07941,
AR2_2005__Craig_BACI_1,302,"1994,1995,1996",116.40551146669,-34.077794,
AR2_2005__Craig_BACI_1,303,"1994,1995,1996",116.385938172439,-34.086712,
AR2_2005__Craig_BACI_1,304,"1994,1995,1996",116.39680917631,-34.082259,
AR2_2005__Craig_BACI_1,305,"1994,1995,1996",116.372598693149,-34.13172,
AR2_2005__Craig_BACI_1,306,"1994,1995,1996",116.340208208296,-34.07115,
AR2_2005__Craig_BACI_1,307,"1994,1995,1996",116.35914482624,-34.118128,
AR2_2005__Craig_BACI_1,308,"1994,1995,1996",116.34477786097,-34.082894,
AR2_2005__Craig_BACI_1,309,"1994,1995,1996",116.360391683559,-34.125346,
AR2_2005__Craig_BACI_1,310,"1994,1995,1996",116.393596186025,-34.076834,
AR2_2005__Craig_BACI_1,311,"1994,1995,1996",116.378919140162,-34.083071,
AR2_2005__Craig_BACI_1,312,"1994,1995,1996",116.38922871867,-34.08132,
AR2_2006__Wunderle_ACI_1,313,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,314,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,315,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,316,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,317,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,318,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,319,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,320,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,321,"1999,2000,2001",-54.9554053333,-3.0296656667,
AR2_2006__Wunderle_ACI_1,322,"1999,2000,2001",-54.9547356667,-3.0312586667,
AR2_2006__Wunderle_ACI_1,323,"1999,2000,2001",-54.9545423333,-3.0331083333,
AR2_2006__Wunderle_ACI_1,324,"1999,2000,2001",-54.954531,-3.034475,
AR2_2006__Wunderle_ACI_1,325,"1999,2000,2001",-54.9574173333,-3.0326093333,
AR2_2006__Wunderle_ACI_1,326,"1999,2000,2001",-54.95902,-3.0329783333,
AR2_2006__Wunderle_ACI_1,327,"1999,2000,2001",-54.9596846667,-3.0319786667,
AR2_2006__Wunderle_ACI_1,328,"1999,2000,2001",-54.9603245,-3.036015,
AR2_2006__Wunderle_ACI_1,329,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,330,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,331,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,332,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,333,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,334,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,335,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,336,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,337,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,338,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,339,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,340,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,341,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,342,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,343,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,344,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,345,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,346,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,347,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,348,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,349,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,350,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,351,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,352,"1999,2000,2001,2003",,,
AR2_2006__Wunderle_ACI_1,353,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,354,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,355,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,356,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,357,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,358,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,359,"1999,2000,2001",,,
AR2_2006__Wunderle_ACI_1,360,"1999,2000,2001",,,
AR2_2011__Cranfield_ACI_1,361,"2001,2007",116.327254987672,-34.07595529664,
AR2_2011__Cranfield_ACI_1,362,"2001,2007",116.3584447499,-34.0843173429647,
AR2_2011__Cranfield_ACI_1,363,"2001,2007",116.368099454414,-34.089098598299,
AR2_2011__Cranfield_ACI_1,364,"2001,2007",116.358494292612,-34.0878804697804,
AR2_2011__Cranfield_ACI_1,365,"2001,2007",116.142351285437,-34.1052735765609,
AR2_2011__Cranfield_ACI_1,366,"2001,2007",116.059749234419,-34.1203485694473,
AR2_2011__Cranfield_ACI_1,367,"2001,2007",116.057218466147,-34.1195996798752,
AR2_2011__Cranfield_ACI_1,368,"2001,2007",116.027768326708,-34.0908930485736,
AR2_2011__Cranfield_ACI_1,369,"2001,2007",116.030230041125,-34.0924094477785,
AR2_2011__Cranfield_ACI_1,370,"2001,2007",115.794804943158,-34.2117044075694,
AR2_2011__Cranfield_ACI_1,371,"2002,2008",116.170276064805,-33.1887198659471,
AR2_2011__Cranfield_ACI_1,372,"2002,2008",116.230769524545,-33.1209909312045,
AR2_2011__Cranfield_ACI_1,373,"2002,2008",116.236676970035,-33.1247368506406,
AR2_2011__Cranfield_ACI_1,374,"2002,2008",116.237141310692,-33.1454113314134,
AR2_2011__Cranfield_ACI_1,375,"2002,2008",116.240239220764,-33.1497779951209,
AR2_2011__Cranfield_ACI_1,376,"2002,2008",116.223213565202,-33.226242167189,
AR2_2011__Cranfield_ACI_1,377,"2002,2008",116.262005651551,-33.1226793097262,
AR2_2011__Cranfield_ACI_1,378,"2002,2008",116.262005651551,-33.1226793097262,
AR2_2011__Cranfield_ACI_1,379,"2002,2008",116.210966140554,-33.0172817042935,
AR2_2011__Cranfield_ACI_1,380,"2003,2009",116.110549657343,-32.7042044957231,
AR2_2011__Cranfield_ACI_1,381,"2003,2009",116.11245984986,-32.7193803549462,
AR2_2011__Cranfield_ACI_1,382,"2003,2009",116.230041468361,-32.6571184575465,
AR2_2011__Cranfield_ACI_1,383,"2003,2009",116.235425233706,-32.6236750240102,
AR2_2011__Cranfield_ACI_1,384,"2003,2009",116.279284512519,-32.6718507690379,
AR2_2011__Cranfield_ACI_1,385,"2003,2009",116.254735425375,-32.1786025299293,
AR2_2011__Cranfield_ACI_1,386,"2003,2009",116.220778729959,-32.1520563276091,
AR2_2011__Cranfield_ACI_1,387,"2003,2009",116.235139224705,-32.1149330392851,
AR2_2011__Cranfield_ACI_1,388,"2004,2010",116.389053015905,-33.2040301569102,
AR2_2011__Cranfield_ACI_1,389,"2004,2010",116.437792779027,-33.2726299078166,
AR2_2011__Cranfield_ACI_1,390,"2004,2010",116.423642849162,-33.2671999287952,
AR2_2011__Cranfield_ACI_1,391,"2004,2010",116.430842814295,-33.281019877834,
AR2_2011__Cranfield_ACI_1,392,"2004,2010",116.415302882969,-33.1390203905621,
AR2_2011__Cranfield_ACI_1,393,"2004,2010",116.428952815424,-33.1313404186334,
AR2_2011__Cranfield_ACI_1,394,"2004,2010",116.428862816289,-33.1390403890806,
AR2_2011__Cranfield_ACI_1,395,"2004,2010",116.359543150017,-32.9940609036678,
AR2_2011__Cranfield_ACI_1,396,"2004,2010",116.355073172252,-32.9979908968546,
AR2_2011__Cranfield_ACI_1,397,"2004,2010",115.655607018794,-32.6162542161904,
AR2_2011__Cranfield_ACI_1,398,"2005,2011",115.70402648814,-33.9545175156648,
